id,title,subtitle,tag,rating_number,instructor,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,publish_date,discounted_price,original_price,discount_percentage,category,sub_category,sub_sub_category,section_number,lectures_number,time_spend,level,language,url
1,Autumn Invitation Poster  Graphic Design Canva,Design with Me from A-Z. Best Canva Tips to Make your life easier! Create an attractive design only using Canva!,N/A,"Xếp hạng: 5,0/55,0 (7 xếp hạng)457 học viên","Diemante SulciuteHospitality Expert, Digital Designer, Online Teacher4,5 xếp hạng giảng viên231 đánh giá4758 học viên13 khóa họcDiemante Sulciute is an experienced hospitality professional, having a blended experience of training and motivating employees, managing hotel operations, PAR levels, cost-cutting, and revenue incrementations. Having worked in hotels for more than 14 years, in a few different countries ( Maldives, Sri Lanka, Cyprus, Malta, Lithuania). Her role is to share understandable and easy ways how to increase revenue, manage PAR levels, calculate proper/healthy costs, and build attractive menus, by saving unnecessary expenses. Here to serve, help others to grow in their hospitality career, teach easy ways to improve your outlet's profits, and give the best to people who want to grow.Also, she recently started her journey as a Graphic designer, so more of the courses will be dedicated to this sector too.   Hiện thêmẨn bớt",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 1/2023,399.000 ₫,N/A,N/A,Thiết kế,Công cụ thiết kế,Canva,4 phần,13 bài giảng,1 giờ 54 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/thanksgiving-autumn-invitation-poster-design-canva/
2,Digital Illustration Masterclass: Sketch to Finished Product,Create your very own polish work of art!,N/A,"Xếp hạng: 5,0/55,0 (2 xếp hạng)1.015 học viên","Sydney HeightInstructor5,0 xếp hạng giảng viên3 đánh giá1021 học viên2 khóa họcA freelance artist creating artwork that strives to engage and generate pieces that everyone can enjoy. I love exploring multiple fields of the art some of which is digital, traditional, design! I'm highly influenced by old illustrators (like J.C Leyendecker), anime, and video games.I've been teaching for 4+ years now and counting! I love to hand down my knowledge from the illustration world to you all.",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 1/2023,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế & Minh họa đồ họa,Adobe Photoshop,4 phần,22 bài giảng,1 giờ 56 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/digital-illustration-masterclass-sketch-to-finished-product/
3,Leonardo Guide: AI Art Generation Tool: Free & Powerful!,Learn to master this revolutionary new medium and create impressive AI Art using Leonardo AI ( Midjourney Alternative )!,N/A,"Xếp hạng: 5,0/55,0 (2 xếp hạng)15 học viên","Being CommerceBiggest Commerce Community4,3 xếp hạng giảng viên1187 đánh giá3731 học viên83 khóa họcThis is the official channel of being commerce. In Udemy we provide all the valuable content that helps our students to be financially free.In our Udemy courses, we will provide students with all digital marketing courses, Operating systems and money-making courses that will help them to grow their business with 24/7 support as well.",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 12/2023,929.000 ₫,N/A,N/A,Thiết kế,Công cụ thiết kế,Vẽ tranh bằng trí tuệ nhân tạo,8 phần,13 bài giảng,2 giờ 53 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/leonardo-guide-ai-art-generation-tool-free-powerful/
4,Creativity Workshop Master Class TM,With Case Study and Case Method,N/A,"Xếp hạng: 5,0/55,0 (2 xếp hạng)1.185 học viên","Dr. Noble Arya Full-Stack Data Scientist, Ai Researcher End to EndSelf Taught CS - Ai Researcher-Scientist - Product Innovator4,4 xếp hạng giảng viên1070 đánh giá21242 học viên138 khóa họcDear Esteemed Life Long Learner,Warm greetings!Allow me to introduce myself; I am Noble, a seasoned professional in the realms of Full-Stack Data Scientist | AI/ML Researcher | Product Innovator I bring a wealth of experience from my tenure as an ex-employee at General Electric (GE) and Wipro Technologies.At Noble Transformation Hub, prestigious TM ®️ certification. Over the years, I have had the privilege of serving and impacting over 100,000 students and 500+ teachers across 170 countries. Notably, our courses have received outstanding ratings, with 4.7+ out of 5 stars from more than 100000+ students.My academic journey includes the honor of holding a Hr. Doctorate in Artificial Intelligence and Machine Learning, coupled with 15+ years of expertise as a Pure Consciousness practitioner. For the past 15 years, I have actively contributed to the field of AIML, Data Science, Deep Learing, Value Innovation and Global Future Skills through implementation and value research.Post Graduate Program in Artificial Intelligence and Machine Learning at The University of Texas at Austin, GLAcknowledging my efforts, I've been honored with 300+ awards. As a lifelong learner, I've delved into Future Skills, Future Technologies, Art Creativity, and Value Innovation. My skills span self-taught expertise in Computer Science, Artificial Intelligence, Super Pure Consciousness, and Design Thinking and Value InnovationMy professional portfolio boasts collaborations with renowned entities such as GE, Wipro Technologies, the Himalayan Institute of Alternatives in Ladakh, Teach for India, Harvard Medical School, University of Texas at Austin, and Toastmasters International. Entrepreneurially, I've successfully initiated and expanded two startups from a family business to national and international levels.The spectrum of skills I offer includes Real-Life Digital Skills, Future Skills, Pure Consciousness Skills, Value Technology Skills, Soft Skills, Real Life Project Management Skills, Real Life Entrepreneurship Skills, and Computer Science and Artificial Intelligence Skills. Additionally, my expertise extends to Attention, Focus, and Consciousness.Having executed over 100 projects in the last 15 years, I am now on a mission to share my knowledge globally.  Through my Udemy courses and YouTube channel, I aim to impact the lives of millions students. My vision for the next decade is to impart real-life problem-solving with Artificial Intelligence and economic skills to over 5 billion people worldwide, both online and offline, while upholding the true values of consciousness.Join me on this transformative journey by following my Udemy and YouTube channel. Together, let's cultivate a future where skills empower and uplift humanity 7+ Billion people across globe .With gratitude to the creator and all beings-atoms and molecules of the universes from binging to infinity.Courtesy,Dr. Noble Arya Full-Stack Data Scientist | AI/ML Researcher | Product InnovatorHiện thêmẨn bớt",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 12/2022,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế khác,Khả năng sáng tạo,13 phần,13 bài giảng,1 giờ 47 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/creativity-workshop-master-class-tm/
5,Sculpting Stylized Character Kratos In Zbrush,Learn how to Create Stylized Character Kratos In Zbrush,N/A,"Xếp hạng: 5,0/55,0 (2 xếp hạng)29 học viên","Devasis SamantryCreativity in Every Frame4,1 xếp hạng giảng viên6 đánh giá73 học viên4 khóa họcAbout Devasis I’m Devasis, a passionate content creator dedicated to empowering others through knowledge and creativity. I specialize in developing diverse courses on exciting topics such as 3D design, video editing, artificial intelligence, and passive income strategies.With a strong background in design, filmmaking, and teaching, I aim to make learning engaging and impactful. My courses are crafted to help you unlock your full potential and transform your passions into skills that drive success. Whether you’re an aspiring artist, a tech enthusiast, or someone looking to explore new horizons, I’m here to guide you every step of the way. Let’s embark on this creative journey together and turn your ideas into reality!Hiện thêmẨn bớt",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 1/2023,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,zBrush,6 phần,17 bài giảng,4 giờ 59 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/sculpting-stylized-character-kratos-in-zbrush/
6,How To Rig A Character In Maya Autodesk,Learn the basics of rigging a character in Maya Autodesk. Perfect for beginners.,N/A,"Xếp hạng: 5,0/55,0 (1 xếp hạng)9 học viên","Dennis JensenSenior Technical Animator5,0 xếp hạng giảng viên1 đánh giá9 học viên1 khóa họcDennis has 10 years experience in the gaming industry as an 3d artist/tech animator on indie games,AAA games, animated films and commercials. Dennis also runs a YouTube Channel with free learning for game developers and game artists. Dennis worked with clients such as Disney, NetFlix, Sega and many more.",N/A,N/A,N/A,N/A,N/A,Lần cập nhật gần đây nhất 1/2024,449.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Autodesk Maya,6 phần,24 bài giảng,2 giờ 11 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/how-to-rig-a-character-in-maya-autodesk/
7,Create a complete 3D Animation -C1- Character modeling,Chapter 01 : Learn how to create an appealing character that can be used for animation in Zbrush & Maya,N/A,"Xếp hạng: 5,0/55,0 (1 xếp hạng)7 học viên","ALAOUCHICHE AbdelhamidTechnical Artist  / CG Generalist4,7 xếp hạng giảng viên19 đánh giá116 học viên7 khóa họcALAOUCHICHE Abdelhamid is a character TD with a long generalist background. His main role is rigging, muscles, hair simulation and developing tools using Python and PySide2 framework for Maya.Currently working for MPC VFX studio as a senior rigger.His latest project before joining MPC, was a Soda commercial (locally) and his main role in that project was: modeling & texturing from a delivered concept, rigging the characters, developing tools to speed up the rigging process using Python.",N/A,N/A,N/A,N/A,N/A,Lần cập nhật gần đây nhất 10/2021,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Mô hình hóa nhân vật,6 phần,29 bài giảng,3 giờ 31 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/bittersweet-pumpkin-chapter-01-character-modeling/
8,Animation in Moho Studio,Free Template for Creating 2d Animation Moho Studio,N/A,"Xếp hạng: 5,0/55,0 (2 xếp hạng)21 học viên","Rukq ManAnimator at Anim8me4,3 xếp hạng giảng viên18 đánh giá5091 học viên3 khóa họcArtist, Animator songwriter, composer/producer Farouk Sadiq  (Rukq Man) produces , writes and create animation in a unique style, which has always being his passion. Rukq Man The Great as popularly called uses  good 2d animation to describe his stories both for young and old, he has being an animator for 5yrs running and has worked with numerous companies and individuals on various projects such as short films , music videos and education all promoting animation in Africa and Nigeria. Farouk Sadiq Is the CEO of Anim8me  a startup which is a cartoon creation and advertising company which uses animation to tell stories for business to help the improve on sales. He believes in telling stories that make the world a better place and cartoon animation is an untapped gold mine for Africa for it can be used to shape he future.   Hiện thêmẨn bớt",100%,0%,0%,0%,0%,Lần cập nhật gần đây nhất 9/2024,399.000 ₫,N/A,N/A,Thiết kế,3D & Hoạt hình,Hoạt hình 2D,5 phần,23 bài giảng,1 giờ 39 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/lyric-music-video-with-character-template/
9,Photoshop Architecture,LEARN ARCHITECTURE PRESENTATION USING PHOTOSHOP,N/A,"Xếp hạng: 5,0/55,0 (2 xếp hạng)28 học viên","Abdelrahman elseesyArchitect & Revit instructor5,0 xếp hạng giảng viên2 đánh giá286 học viên1 khóa họcAutodesk Certified proffesional at Revit Archticeture and Architect studies architecture engineering at faculty of engineering ,egypt, menoufia university instructor for revit and lumion and photoshop architecture and engineering drawing and autocad architecture i have teached this courses for 3 years until now and student have done graet job in their projects using this programs after courses Hiện thêmẨn bớt",N/A,N/A,N/A,N/A,N/A,Lần cập nhật gần đây nhất 8/2022,399.000 ₫,N/A,N/A,Thiết kế,Thiết kế kiến trúc,Adobe Photoshop,1 phần,6 bài giảng,4 giờ 34 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/photoshop-architecture/
10,Grasshopper & Rhino Architectural Structure Curve Attractor,how to create an arched structure that is parametric with Grasshopper and detail it using Rhino,N/A,"Xếp hạng: 5,0/55,0 (2 xếp hạng)776 học viên","David CopeteParametric Design and Architecture Experience4,6 xếp hạng giảng viên27 đánh giá1182 học viên5 khóa họcI focus on Parametric Design and Modern Architecture. If you are interested in Grasshopper and want to learn how it works, this is perfect for you. Don't be intimidated and give it a try! My name is David Copete and I will make sure to guide you through the exercise steps so you can learn the interface and how to work with this program. Once you get through the initial learning stage, it will become one of your most useful design tools.In these classes you will learn how to create Parametric Designs using Grasshopper for Rhino. These tutorials are great for students who are trying to expand their design arsenal. They will allow you to create some complex and impressive designs in a quick amount of time. The steps in this tutorial are useful for many other applications. So make sure to follow me for future lessons, and let me know if you have any questions, or ideas for future videos. By the end of these courses, you will have a better understanding of how Parametric Design works and how you can apply it to your specific use case.Why I recommend these courses:· It is simple and straightforward with full explanations of the process.· I will show you a real world example. By the end of the lesson you have a useful script and design that you can use in the future and share with those around you.Who can benefit from this lesson?· Architects· Engineers· Design students· 3D modelers interested in parametric design.· 3D Print designers· Beginners who want to learn Grasshopper and Parametric DesignHiện thêmẨn bớt",N/A,N/A,N/A,N/A,N/A,Lần cập nhật gần đây nhất 12/2020,399.000 ₫,N/A,N/A,Thiết kế,Công cụ thiết kế,Grasshopper 3d,6 phần,6 bài giảng,44 phút tổng thời lượng,N/A,Tiếng Anh,https://www.udemy.com/course/grasshopper-rhino-architectural-structure-curve-attractor/
